Geography,Degrees Fahrenheit degrees Fahrenheit
Southwest Queens,100
Springfield Gardens North,102
Springfield Gardens South-Brookville,101
Spuyten Duyvil-Kingsbridge,96
St. Albans,102
St. George and Stapleton (CD1),98
Stapleton - St. George,95
Stapleton-Rosebank,96
Starrett City,95
Staten Island,97
Steinway,98
Stuyvesant Heights,98
Stuyvesant Town and Turtle Bay (CD6),97
Stuyvesant Town-Cooper Village,94
Sunset Park,96
Sunset Park (CD7),96
Sunset Park East,97
Sunset Park West,98
Throgs Neck and Co-op City (CD10),97
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,98
Tottenville and Great Kills (CD3),95
Turtle Bay-East Midtown,97
Union Square - Lower East Side,98
University Heights-Morris Heights,98
Upper East Side,96
Upper East Side (CD8),97
Upper East Side-Carnegie Hill,97
Upper West Side,96
Upper West Side,96
Upper West Side (CD7),96
Van Cortlandt Village,96
Van Nest-Morris Park-Westchester Square,101
Washington Heights,94
Washington Heights and Inwood (CD12),94
Washington Heights North,95
Washington Heights South,96
West Brighton,96
West Concourse,98
West Farms-Bronx River,98
West New Brighton-New Brighton-St. George,97
West Queens,100
West Village,98
Westchester-Unionport,100
Westerleigh,99
Whitestone,100
Williamsbridge and Baychester (CD12),98
Williamsbridge-Olinville,99
Williamsburg,101
Williamsburg - Bushwick,101
Willowbrook,95
Windsor Terrace,96
Woodhaven,100
Woodlawn-Wakefield,99
Woodside,100
Woodside and Sunnyside (CD2),100
Yorkville,97
